,b,d,dh,f,g,k,m,n,p,s,sh,t,th,v,z,zh,total
b,41,3,1,3,5,11,0,1,1,2,0,0,2,5,3,0,78
d,9,7,6,1,11,8,1,10,3,1,0,0,17,1,1,2,78
dh,3,5,7,3,8,4,0,0,0,4,2,2,21,7,11,1,78
f,2,0,0,58,0,1,1,0,1,5,0,0,6,3,0,1,78
g,6,2,2,2,53,1,0,0,0,7,0,1,1,2,0,1,78
k,1,0,0,0,1,71,0,0,1,0,0,2,0,2,0,0,78
m,7,3,0,0,3,26,23,3,3,2,0,3,1,4,0,0,78
n,3,9,1,1,6,9,5,33,1,2,0,1,6,1,0,0,78
p,0,1,2,2,2,15,0,0,42,0,1,3,3,2,0,5,78
s,0,1,3,6,1,0,1,1,0,32,3,0,25,0,3,2,78
sh,0,0,0,0,0,0,0,0,0,3,70,0,2,0,0,3,78
t,0,0,0,1,0,13,0,0,4,0,0,56,4,0,0,0,78
th,0,0,1,61,0,1,0,0,0,0,0,0,14,1,0,0,78
v,8,1,4,30,3,1,0,0,2,0,0,1,13,12,3,0,78
z,1,3,2,0,3,2,0,2,0,39,9,2,0,1,12,2,78
zh,1,2,3,1,17,5,0,5,0,1,8,0,2,1,1,31,78
,82,37,32,169,113,168,31,55,58,98,93,71,117,42,34,48,1248